	Domain	Phylum	Class	Order	Family	Genus	Species
ASV1005	D_0__Bacteria	D_1__Chloroflexi	D_2__Ktedonobacteria	D_3__C0119			
ASV1006	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__TRA3-20	D_5__uncultured Nitrosomonadaceae bacterium	D_6__uncultured Nitrosomonadaceae bacterium
ASV1007	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Chitinophagales	D_4__Chitinophagaceae		
ASV1008	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Weeksellaceae	D_5__Chryseobacterium	
ASV1009	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Chitinophagales	D_4__Chitinophagaceae	D_5__Taibaiella	D_6__Taibaiella sp.
ASV1010	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Flavobacteriaceae	D_5__Flavobacterium	
ASV1011	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Labraceae	D_5__Labrys	D_6__uncultured Hyphomicrobiaceae bacterium
ASV1012	D_0__Bacteria	D_1__Patescibacteria	D_2__Saccharimonadia	D_3__Saccharimonadales			
ASV1013	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Chitinophagales	D_4__Chitinophagaceae	D_5__uncultured	D_6__uncultured Flavisolibacter sp.
ASV1014	D_0__Bacteria	D_1__Verrucomicrobia	D_2__Verrucomicrobiae	D_3__Opitutales	D_4__Opitutaceae	D_5__Lacunisphaera	
ASV1015	D_0__Bacteria	D_1__Acidobacteria	D_2__Acidobacteriia	D_3__Acidobacteriales	D_4__uncultured	D_5__metagenome	D_6__metagenome
ASV1016	D_0__Bacteria	D_1__Acidobacteria	D_2__Subgroup 6				
ASV1017	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Chitinophagales	D_4__Chitinophagaceae	D_5__Niastella	
ASV1018	D_0__Bacteria	D_1__Acidobacteria	D_2__Blastocatellia (Subgroup 4)	D_3__Blastocatellales	D_4__Blastocatellaceae		
ASV1019	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Burkholderiaceae		
ASV1020	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Burkholderiaceae	D_5__Polaromonas	
ASV1021	D_0__Bacteria	D_1__Verrucomicrobia	D_2__Verrucomicrobiae	D_3__Chthoniobacterales	D_4__Chthoniobacteraceae	D_5__Candidatus Udaeobacter	D_6__uncultured Luteolibacter sp.
ASV1022	D_0__Bacteria	D_1__Gemmatimonadetes	D_2__Gemmatimonadetes	D_3__Gemmatimonadales	D_4__Gemmatimonadaceae	D_5__Gemmatimonas	
ASV1023	D_0__Bacteria	D_1__Gemmatimonadetes	D_2__Gemmatimonadetes	D_3__Gemmatimonadales	D_4__Gemmatimonadaceae		
ASV1024	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Burkholderiaceae	D_5__Cupriavidus	
ASV1025	D_0__Bacteria	D_1__Acidobacteria	D_2__Acidobacteriia	D_3__Solibacterales	D_4__Solibacteraceae (Subgroup 3)	D_5__Candidatus Solibacter	
ASV1026	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Nitrosomonadaceae	D_5__IS-44	D_6__uncultured Nitrosomonadaceae bacterium
ASV1027	D_0__Bacteria	D_1__Rokubacteria	D_2__NC10	D_3__Rokubacteriales	D_4__uncultured proteobacterium	D_5__uncultured proteobacterium	D_6__uncultured proteobacterium
ASV1028	D_0__Bacteria	D_1__Acidobacteria	D_2__Acidobacteriia	D_3__Acidobacteriales	D_4__uncultured	D_5__metagenome	D_6__metagenome
ASV1029	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Methyloligellaceae	D_5__uncultured	D_6__alpha proteobacterium LS7-MT
ASV1030	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Chitinophagales	D_4__Chitinophagaceae		
ASV1031	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Nitrosomonadaceae	D_5__Ellin6067	
ASV1032	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Labraceae	D_5__Labrys	
ASV1033	D_0__Bacteria	D_1__Acidobacteria	D_2__Blastocatellia (Subgroup 4)	D_3__Blastocatellales	D_4__Blastocatellaceae		
ASV1034	D_0__Bacteria	D_1__Acidobacteria	D_2__Subgroup 6				
ASV1035	D_0__Bacteria						
ASV1036	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Reyranellales	D_4__Reyranellaceae	D_5__Reyranella	D_6__uncultured marine bacterium
ASV1037	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Nostocales	D_4__Nostocaceae	D_5__Nostoc PCC-7107	D_6__Nostoc sp. PCC 7107
ASV1038	D_0__Bacteria	D_1__Acidobacteria	D_2__Subgroup 5				
ASV1039	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Methyloligellaceae	D_5__uncultured	
ASV1040	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__JG36-TzT-191	D_4__uncultured proteobacterium	D_5__uncultured proteobacterium	D_6__uncultured proteobacterium
ASV1041	D_0__Bacteria	D_1__Acidobacteria	D_2__Acidobacteriia	D_3__Solibacterales	D_4__Solibacteraceae (Subgroup 3)	D_5__Candidatus Solibacter	D_6__Candidatus Solibacter usitatus Ellin6076
ASV1042	D_0__Bacteria	D_1__Acidobacteria	D_2__Blastocatellia (Subgroup 4)	D_3__Pyrinomonadales	D_4__Pyrinomonadaceae	D_5__RB41	
ASV1043	D_0__Bacteria	D_1__Acidobacteria	D_2__Subgroup 6				
ASV1044	D_0__Bacteria	D_1__Acidobacteria	D_2__Acidobacteriia	D_3__Acidobacteriales			
ASV1045	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Xanthomonadales	D_4__Xanthomonadaceae	D_5__Lysobacter	
ASV1046	D_0__Bacteria	D_1__Actinobacteria	D_2__Actinobacteria	D_3__Streptosporangiales	D_4__Streptosporangiaceae	D_5__Sphaerisporangium	
ASV1047	D_0__Bacteria	D_1__Acidobacteria	D_2__Blastocatellia (Subgroup 4)	D_3__Pyrinomonadales	D_4__Pyrinomonadaceae	D_5__RB41	
ASV1048	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Chitinophagales	D_4__Chitinophagaceae	D_5__Niastella	D_6__Niastella gongjuensis
ASV1049	D_0__Bacteria	D_1__Gemmatimonadetes	D_2__Gemmatimonadetes	D_3__Gemmatimonadales	D_4__Gemmatimonadaceae	D_5__uncultured	
ASV1050	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria				
ASV1051	D_0__Bacteria	D_1__Acidobacteria	D_2__Acidobacteriia	D_3__Solibacterales	D_4__Solibacteraceae (Subgroup 3)	D_5__Candidatus Solibacter	D_6__bacterium Ellin6505
ASV1052	D_0__Bacteria	D_1__Actinobacteria	D_2__Actinobacteria	D_3__Frankiales	D_4__Nakamurellaceae	D_5__Nakamurella	D_6__Nakamurella multipartita DSM 44233
ASV1053	D_0__Bacteria	D_1__Proteobacteria	D_2__Deltaproteobacteria	D_3__Bdellovibrionales	D_4__Bdellovibrionaceae	D_5__Bdellovibrio	D_6__Bdellovibrio sp. ETB
ASV1054	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Labraceae	D_5__Labrys	D_6__uncultured Hyphomicrobiaceae bacterium
ASV1055	D_0__Bacteria	D_1__Actinobacteria	D_2__Actinobacteria	D_3__Frankiales	D_4__Nakamurellaceae	D_5__Nakamurella	D_6__Nakamurella multipartita DSM 44233
ASV1056	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Chitinophagales	D_4__Chitinophagaceae	D_5__uncultured	
ASV1057	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Caulobacterales	D_4__Caulobacteraceae	D_5__Phenylobacterium	
ASV1058	D_0__Bacteria	D_1__Acidobacteria	D_2__Blastocatellia (Subgroup 4)	D_3__Blastocatellales	D_4__Blastocatellaceae		
ASV1059	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Micropepsales	D_4__Micropepsaceae	D_5__uncultured	D_6__uncultured forest soil bacterium
ASV1060	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Rhizobiales Incertae Sedis	D_5__Nordella	
ASV1061	D_0__Bacteria	D_1__Acidobacteria	D_2__Blastocatellia (Subgroup 4)	D_3__Blastocatellales	D_4__Blastocatellaceae		
ASV1062	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Burkholderiaceae	D_5__Burkholderia-Caballeronia-Paraburkholderia	
ASV1063	D_0__Bacteria	D_1__Nitrospirae	D_2__Nitrospira	D_3__Nitrospirales	D_4__Nitrospiraceae	D_5__Nitrospira	D_6__Nitrospira japonica
ASV1064	D_0__Bacteria	D_1__Actinobacteria	D_2__Actinobacteria	D_3__Propionibacteriales	D_4__Nocardioidaceae	D_5__Aeromicrobium	
ASV1065	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Sphingomonadales	D_4__Sphingomonadaceae	D_5__Novosphingobium	
ASV1066	D_0__Bacteria	D_1__Acidobacteria	D_2__Subgroup 6				
ASV1067	D_0__Bacteria	D_1__Verrucomicrobia	D_2__Verrucomicrobiae	D_3__Pedosphaerales	D_4__Pedosphaeraceae		
ASV1068	D_0__Bacteria	D_1__Actinobacteria	D_2__Thermoleophilia	D_3__Gaiellales	D_4__uncultured		
ASV1069	D_0__Bacteria	D_1__Chloroflexi	D_2__KD4-96	D_3__uncultured Longilinea sp.	D_4__uncultured Longilinea sp.	D_5__uncultured Longilinea sp.	D_6__uncultured Longilinea sp.
ASV1070	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Chitinophagales	D_4__Chitinophagaceae		
ASV1071	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Xanthobacteraceae	D_5__uncultured	
ASV1072	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Oxyphotobacteria Incertae Sedis	D_4__Unknown Family	D_5__Leptolyngbya EcFYyyy-00	D_6__Leptolyngbya scottii EcFYyyy_00
ASV1073	D_0__Bacteria	D_1__Actinobacteria	D_2__Actinobacteria	D_3__Propionibacteriales	D_4__Nocardioidaceae	D_5__Nocardioides	D_6__Nocardioides sp. MSL 21
ASV1074	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Xanthobacteraceae		
ASV1075	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Xanthobacteraceae		
ASV1076	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Dongiales	D_4__Dongiaceae	D_5__Dongia	D_6__Dongia sp. URHE0060
ASV1077	D_0__Bacteria	D_1__Acidobacteria	D_2__Subgroup 6				
ASV1078	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Chitinophagales	D_4__Chitinophagaceae	D_5__Flavitalea	
ASV1079	D_0__Bacteria	D_1__Acidobacteria	D_2__Blastocatellia (Subgroup 4)	D_3__Pyrinomonadales	D_4__Pyrinomonadaceae	D_5__RB41	
ASV1080	D_0__Bacteria	D_1__Acidobacteria	D_2__Acidobacteriia	D_3__Solibacterales	D_4__Solibacteraceae (Subgroup 3)	D_5__Candidatus Solibacter	D_6__bacterium Ellin6505
ASV1081	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Chitinophagales	D_4__Chitinophagaceae	D_5__Chitinophaga	
ASV1082	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Burkholderiaceae	D_5__Acidovorax	
ASV1083	D_0__Bacteria	D_1__Actinobacteria	D_2__Actinobacteria	D_3__Propionibacteriales	D_4__Nocardioidaceae	D_5__Nocardioides	
ASV1084	D_0__Bacteria	D_1__Firmicutes	D_2__Bacilli	D_3__Bacillales	D_4__Bacillaceae	D_5__Bacillus	
ASV1085	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Chitinophagales	D_4__Chitinophagaceae	D_5__uncultured	
ASV1086	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Nitrosomonadaceae	D_5__IS-44	D_6__uncultured Nitrosomonadaceae bacterium
ASV1087	D_0__Bacteria	D_1__Planctomycetes	D_2__Planctomycetacia	D_3__Pirellulales	D_4__Pirellulaceae	D_5__uncultured	D_6__uncultured Ralstonia sp.
ASV1088	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Chitinophagales	D_4__Chitinophagaceae	D_5__uncultured	
ASV1089	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Dongiales	D_4__Dongiaceae	D_5__Dongia	D_6__Dongia sp. URHE0060
ASV1090	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Leptolyngbyales	D_4__Leptolyngbyaceae	D_5__Leptolyngbya Es-Yyy1000	D_6__Leptolyngbya cf. 'Albertano-Kovacik green' Es_Yyy1800
ASV1091	D_0__Bacteria	D_1__Acidobacteria	D_2__Subgroup 6	D_3__uncultured bacterium 126	D_4__uncultured bacterium 126	D_5__uncultured bacterium 126	D_6__uncultured bacterium 126
ASV1092	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Cytophagales	D_4__Microscillaceae	D_5__uncultured	D_6__uncultured Cyclobacteriaceae bacterium
ASV1093	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Labraceae	D_5__Labrys	
ASV1094	D_0__Bacteria	D_1__Chloroflexi	D_2__Ktedonobacteria	D_3__C0119			
ASV1095	D_0__Bacteria	D_1__Patescibacteria	D_2__Saccharimonadia	D_3__Saccharimonadales	D_4__Saccharum hybrid cultivar	D_5__Saccharum hybrid cultivar	D_6__Saccharum hybrid cultivar
ASV1096	D_0__Bacteria	D_1__Verrucomicrobia	D_2__Verrucomicrobiae	D_3__Chthoniobacterales	D_4__Chthoniobacteraceae	D_5__Chthoniobacter	D_6__uncultured Spartobacteria bacterium
ASV1097	D_0__Bacteria	D_1__Actinobacteria	D_2__Actinobacteria	D_3__Corynebacteriales	D_4__Mycobacteriaceae	D_5__Mycobacterium	
ASV1098	D_0__Bacteria	D_1__Actinobacteria	D_2__Actinobacteria				
ASV1099	D_0__Bacteria	D_1__Planctomycetes	D_2__Phycisphaerae	D_3__Tepidisphaerales	D_4__WD2101 soil group	D_5__planctomycete WWH14	D_6__planctomycete WWH14
ASV1100	D_0__Bacteria	D_1__Patescibacteria	D_2__Saccharimonadia	D_3__Saccharimonadales	D_4__candidate division TM7 bacterium JGI 0001002-L20	D_5__candidate division TM7 bacterium JGI 0001002-L20	D_6__candidate division TM7 bacterium JGI 0001002-L20
ASV1101	D_0__Bacteria	D_1__Actinobacteria	D_2__Actinobacteria	D_3__Streptomycetales	D_4__Streptomycetaceae	D_5__Streptomyces	
ASV1102	D_0__Bacteria	D_1__Actinobacteria	D_2__Acidimicrobiia				
ASV1103	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Nitrosomonadaceae	D_5__mle1-7	D_6__uncultured Burkholderiales bacterium
ASV1104	D_0__Bacteria	D_1__Acidobacteria	D_2__Subgroup 6				
ASV1105	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Xanthobacteraceae	D_5__uncultured	
ASV1106	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Nitrosomonadaceae	D_5__Ellin6067	
ASV1107	D_0__Bacteria	D_1__Actinobacteria	D_2__Actinobacteria	D_3__Streptomycetales	D_4__Streptomycetaceae	D_5__Streptomyces	
ASV1108	D_0__Bacteria	D_1__Acidobacteria	D_2__Subgroup 6				
ASV1109	D_0__Bacteria	D_1__Patescibacteria	D_2__Saccharimonadia	D_3__Saccharimonadales	D_4__uncultured bacterium SBR2004	D_5__uncultured bacterium SBR2004	D_6__uncultured bacterium SBR2004
ASV1110	D_0__Bacteria	D_1__Acidobacteria	D_2__Blastocatellia (Subgroup 4)	D_3__Pyrinomonadales	D_4__Pyrinomonadaceae	D_5__RB41	
ASV1111	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Chitinophagales	D_4__Chitinophagaceae		
ASV1112	D_0__Bacteria	D_1__Planctomycetes	D_2__Phycisphaerae	D_3__Tepidisphaerales	D_4__WD2101 soil group	D_5__uncultured Planctomycetia bacterium	D_6__uncultured Planctomycetia bacterium
ASV1113	D_0__Bacteria	D_1__Actinobacteria	D_2__Acidimicrobiia	D_3__Microtrichales	D_4__Ilumatobacteraceae	D_5__CL500-29 marine group	D_6__'Hevea brasiliensis' phytoplasma
ASV1114	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Burkholderiaceae		
ASV1115	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Chitinophagales	D_4__Chitinophagaceae	D_5__Lacibacter	D_6__wastewater metagenome
ASV1116	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Micropepsales	D_4__Micropepsaceae	D_5__uncultured	D_6__uncultured forest soil bacterium
ASV1117	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Chitinophagales	D_4__Chitinophagaceae		
ASV1118	D_0__Bacteria	D_1__Acidobacteria	D_2__Blastocatellia (Subgroup 4)	D_3__Blastocatellales	D_4__Blastocatellaceae	D_5__Stenotrophobacter	D_6__Stenotrophobacter terrae
ASV1119	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Nitrosomonadaceae	D_5__Ellin6067	
ASV1120	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Chitinophagales	D_4__Chitinophagaceae	D_5__Flavisolibacter	
ASV1121	D_0__Bacteria	D_1__Gemmatimonadetes	D_2__Gemmatimonadetes	D_3__Gemmatimonadales	D_4__Gemmatimonadaceae	D_5__uncultured	
ASV1122	D_0__Bacteria	D_1__Gemmatimonadetes	D_2__Gemmatimonadetes	D_3__Gemmatimonadales	D_4__Gemmatimonadaceae		
ASV1123	D_0__Bacteria	D_1__Acidobacteria	D_2__Subgroup 6				
ASV1124	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Chitinophagales	D_4__Saprospiraceae	D_5__uncultured	D_6__uncultured Haliscomenobacter sp.
ASV1125	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Burkholderiaceae		
ASV1126	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Rhizobiales Incertae Sedis	D_5__Nordella	
ASV1127	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Burkholderiaceae		
ASV1128	D_0__Bacteria	D_1__Acidobacteria	D_2__Subgroup 17				
ASV1129	D_0__Bacteria	D_1__Acidobacteria	D_2__Blastocatellia (Subgroup 4)	D_3__Blastocatellales	D_4__Blastocatellaceae	D_5__Stenotrophobacter	D_6__uncultured Acidobacterium sp.
ASV1130	D_0__Bacteria	D_1__Proteobacteria	D_2__Deltaproteobacteria	D_3__RCP2-54	D_4__uncultured Desulfuromonadales bacterium	D_5__uncultured Desulfuromonadales bacterium	D_6__uncultured Desulfuromonadales bacterium
ASV1131	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Chitinophagales	D_4__Chitinophagaceae		
ASV1132	D_0__Bacteria	D_1__Chloroflexi	D_2__Chloroflexia	D_3__Chloroflexales	D_4__Roseiflexaceae	D_5__uncultured	D_6__uncultured Chloroflexaceae bacterium
ASV1133	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Chitinophagales	D_4__Chitinophagaceae		
ASV1134	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Burkholderiaceae	D_5__Massilia	
ASV1135	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Weeksellaceae	D_5__Chryseobacterium	
ASV1136	D_0__Bacteria	D_1__Acidobacteria	D_2__Acidobacteriia	D_3__Acidobacteriales	D_4__uncultured	D_5__uncultured Acidobacteriales bacterium	D_6__uncultured Acidobacteriales bacterium
ASV1137	D_0__Bacteria	D_1__Gemmatimonadetes	D_2__Gemmatimonadetes	D_3__Gemmatimonadales	D_4__Gemmatimonadaceae		
ASV1138	D_0__Bacteria	D_1__Acidobacteria	D_2__Subgroup 6	D_3__uncultured bacterium 126	D_4__uncultured bacterium 126	D_5__uncultured bacterium 126	D_6__uncultured bacterium 126
ASV1139	D_0__Bacteria	D_1__Acidobacteria	D_2__Acidobacteriia	D_3__Subgroup 2	D_4__bacterium Ellin7509	D_5__bacterium Ellin7509	D_6__bacterium Ellin7509
ASV1140	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Chitinophagales	D_4__Chitinophagaceae		
ASV1141	D_0__Bacteria	D_1__Actinobacteria	D_2__Acidimicrobiia	D_3__IMCC26256	D_4__uncultured Ferrimicrobium sp.	D_5__uncultured Ferrimicrobium sp.	D_6__uncultured Ferrimicrobium sp.
ASV1142	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Labraceae	D_5__Labrys	
ASV1143	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Weeksellaceae	D_5__Chryseobacterium	
ASV1144	D_0__Bacteria	D_1__Actinobacteria					
ASV1145	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Nostocales	D_4__Nostocaceae	D_5__Nostoc PCC-7107	D_6__Nostoc sp. PCC 7107
ASV1146	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Cytophagales	D_4__Hymenobacteraceae	D_5__Adhaeribacter	
ASV1147	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Chitinophagales	D_4__Chitinophagaceae		
ASV1148	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Xanthobacteraceae	D_5__Pseudolabrys	D_6__uncultured Caulobacterales bacterium
ASV1149	D_0__Bacteria	D_1__Acidobacteria	D_2__Acidobacteriia	D_3__Solibacterales	D_4__Solibacteraceae (Subgroup 3)	D_5__Bryobacter	
ASV1150	D_0__Bacteria	D_1__Planctomycetes	D_2__Planctomycetacia	D_3__Gemmatales	D_4__Gemmataceae	D_5__Gemmata	D_6__Gemmata sp. Fl1-1
ASV1151	D_0__Bacteria	D_1__Acidobacteria	D_2__Subgroup 6				
ASV1152	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Burkholderiaceae		
ASV1153	D_0__Bacteria	D_1__Rokubacteria	D_2__NC10	D_3__Rokubacteriales	D_4__uncultured proteobacterium	D_5__uncultured proteobacterium	D_6__uncultured proteobacterium
ASV1154	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Rhizobiaceae	D_5__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	
ASV1155	D_0__Bacteria	D_1__Acidobacteria	D_2__Acidobacteriia	D_3__Subgroup 2			
ASV1156	D_0__Bacteria	D_1__Acidobacteria	D_2__Subgroup 6				
ASV1157	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Chitinophagales	D_4__Chitinophagaceae	D_5__uncultured	D_6__uncultured Flavisolibacter sp.
ASV1158	D_0__Bacteria	D_1__Proteobacteria	D_2__Deltaproteobacteria	D_3__Myxococcales			
ASV1159	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Cytophagales	D_4__Hymenobacteraceae	D_5__Adhaeribacter	
ASV1160	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Burkholderiaceae	D_5__Massilia	
ASV1161	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Burkholderiaceae	D_5__Massilia	
ASV1162	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Salinisphaerales	D_4__Solimonadaceae	D_5__Polycyclovorans	
ASV1163	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria				
ASV1164	D_0__Bacteria						
ASV1165	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Xanthobacteraceae	D_5__Pseudolabrys	
ASV1166	D_0__Bacteria	D_1__Acidobacteria	D_2__Acidobacteriia	D_3__Solibacterales	D_4__Solibacteraceae (Subgroup 3)	D_5__Candidatus Solibacter	D_6__bacterium Ellin6505
ASV1167	D_0__Bacteria	D_1__Firmicutes	D_2__Bacilli	D_3__Bacillales	D_4__Bacillaceae	D_5__Bacillus	
ASV1168	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Sphingomonadales	D_4__Sphingomonadaceae	D_5__Novosphingobium	
ASV1169	D_0__Bacteria	D_1__Actinobacteria	D_2__Actinobacteria	D_3__Propionibacteriales	D_4__Nocardioidaceae	D_5__Nocardioides	
ASV1170	D_0__Bacteria	D_1__Acidobacteria	D_2__Subgroup 6	D_3__Unknown Order	D_4__Unknown Family	D_5__Vicinamibacter	
ASV1171	D_0__Bacteria	D_1__Armatimonadetes	D_2__Fimbriimonadia	D_3__Fimbriimonadales	D_4__Fimbriimonadaceae	D_5__Armatimonadetes bacterium 55-13	D_6__Armatimonadetes bacterium 55-13
ASV1172	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Chitinophagales	D_4__Chitinophagaceae		
ASV1173	D_0__Bacteria	D_1__Verrucomicrobia	D_2__Verrucomicrobiae	D_3__Chthoniobacterales	D_4__Chthoniobacteraceae	D_5__Candidatus Udaeobacter	
ASV1174	D_0__Bacteria	D_1__Acidobacteria	D_2__Subgroup 6				
ASV1175	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Chitinophagales	D_4__Chitinophagaceae	D_5__uncultured	D_6__uncultured Flavisolibacter sp.
